municipio,uf,codigo_ibge,latitude,longitude,aeroporto_mais_proximo,codigo_iata,codigo_icao,codigo_principal,distancia_km
Rio Piracicaba,MG,3155702.0,-19.954941168099097,-43.17982374566884,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,81.41
Rio Pomba,MG,3155801.0,-21.272190609813197,-43.17780564540324,Zona da Mata Regional Airport,IZA,SDZY,IZA,26.79
Rio Preto,MG,3155900.0,-22.086922252455047,-43.829465665580315,Francisco de Assis Airport,JDF,SBJF,JDF,56.25
Rio Vermelho,MG,3156007.0,-18.30111056920725,-43.02243909806215,Diamantina Airport,DTI,SNDT,DTI,66.75
Ritápolis,MG,3156106.0,-21.023253270420852,-44.32347752383834,Das Bandeirinhas Airport,\N,SNKF,\N,63.16
Rochedo De Minas,MG,3156205.0,-21.6314596314615,-43.0220685053826,Zona da Mata Regional Airport,IZA,SDZY,IZA,20.42
Rodeiro,MG,3156304.0,-21.200705079223,-42.86867625861264,Zona da Mata Regional Airport,IZA,SDZY,IZA,46.9
Romaria,MG,3156403.0,-18.88348003487195,-47.58175490045602,Ten. Cel. Aviador César Bombonato Airport,UDI,SBUL,UDI,67.71
Rosário Da Limeira,MG,3156452.0,-20.981298201362,-42.506059970218274,Cristiano Ferreira Varella Airport,\N,SNBM,\N,19.84
Rubelita,MG,3156502.0,-16.402966415692596,-42.264762332381494,Janaúba Airport,\N,SNAP,\N,135.48
Rubim,MG,3156601.0,-16.372973516689598,-40.53694147385319,Porto Seguro Airport,BPS,SBPS,BPS,155.48
Sabará,MG,3156700.0,-19.892494512089698,-43.82555709033021,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,13.86
Sabinópolis,MG,3156809.0,-18.671814653190197,-43.08820364290498,Diamantina Airport,DTI,SNDT,DTI,76.86
Sacramento,MG,3156908.0,-19.863576339353102,-47.43655531638745,Mário de Almeida Franco Airport,UBA,SBUR,UBA,56.48
Salinas,MG,3157005.0,-16.1698557321158,-42.29350647227566,Janaúba Airport,\N,SNAP,\N,120.36
Salto Da Divisa,MG,3157104.0,-15.997570702152148,-39.950756023587296,Porto Seguro Airport,BPS,SBPS,BPS,105.03
Santa Bárbara,MG,3157203.0,-19.9655911927172,-43.405220987975504,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,58.42
Santa Bárbara Do Leste,MG,3157252.0,-19.975792667414098,-42.140840581915896,Usiminas Airport,IPN,SBIP,IPN,66.87
Santa Bárbara Do Monte Verde,MG,3157278.0,-21.957267015090352,-43.70177416639277,Francisco de Assis Airport,JDF,SBJF,JDF,37.36
Santa Bárbara Do Tugúrio,MG,3157302.0,-21.24620838946535,-43.55894878427839,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,21.08
Santa Cruz De Minas,MG,3157336.0,-21.119471032200696,-44.22325784838418,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,50.65
Santa Cruz De Salinas,MG,3157377.0,-16.094355635283392,-41.750354526749646,Vitória da Conquista Airport,VDC,SBQV,VDC,166.71
Santa Cruz Do Escalvado,MG,3157401.0,-20.2382772552792,-42.81845285332613,Usiminas Airport,IPN,SBIP,IPN,92.1
Santa Efigênia De Minas,MG,3157500.0,-18.819837823213803,-42.439312668570466,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,48.82
Santa Fé De Minas,MG,3157609.0,-16.68737345280085,-45.41363312215471,Paracatu Airport,\N,SNZR,\N,168.04
Santa Helena De Minas,MG,3157658.0,-16.93630753362435,-40.68628864211218,9 de Maio - Teixeira de Freitas Airport,TXF,SNTF,TXF,126.34
Santa Juliana,MG,3157708.0,-19.311298933699952,-47.52714433435028,Romeu Zema Airport,AAX,SBAX,AAX,65.7
Santa Luzia,MG,3157807.0,-19.7676168525221,-43.85000726063206,Lagoa Santa Airport,\N,SBLS,\N,12.75
Santa Margarida,MG,3157906.0,-20.37792542680605,-42.252535780265404,Cristiano Ferreira Varella Airport,\N,SNBM,\N,84.49
Santa Maria De Itabira,MG,3158003.0,-19.459010774279793,-43.11014984412377,Usiminas Airport,IPN,SBIP,IPN,65.28
Santa Maria Do Salto,MG,3158102.0,-16.247572679391297,-40.14693301499683,Porto Seguro Airport,BPS,SBPS,BPS,115.71
Santa Maria Do Suaçuí,MG,3158201.0,-18.192252202490778,-42.41780245045979,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,90.66
Santana Da Vargem,MG,3158300.0,-21.24896218018975,-45.50712104873855,Major Brigadeiro Trompowsky Airport,VAG,SBVG,VAG,38.09
Santana De Cataguases,MG,3158409.0,-21.28402807861805,-42.55460494908108,Cristiano Ferreira Varella Airport,\N,SNBM,\N,24.17
Santana De Pirapama,MG,3158508.0,-19.0068859968553,-44.038102508067816,Tancredo Neves International Airport,CNF,SBCF,CNF,69.02
Santana Do Deserto,MG,3158607.0,-21.949692044444898,-43.17231783371598,Francisco de Assis Airport,JDF,SBJF,JDF,28.27
Santana Do Garambéu,MG,3158706.0,-21.60183185736405,-44.11087343000398,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,51.92
Santana Do Jacaré,MG,3158805.0,-20.901677492436953,-45.12804856956776,Major Brigadeiro Trompowsky Airport,VAG,SBVG,VAG,84.5
Santana Do Manhuaçu,MG,3158904.0,-20.1085461650507,-41.92349746423234,Usiminas Airport,IPN,SBIP,IPN,92.27
Santana Do Paraíso,MG,3158953.0,-19.36909852355455,-42.55258294904494,Usiminas Airport,IPN,SBIP,IPN,13.19
Santana Do Riacho,MG,3159001.0,-19.1700918689263,-43.71145930339512,Tancredo Neves International Airport,CNF,SBCF,CNF,57.44
Santana Dos Montes,MG,3159100.0,-20.789734851480503,-43.70599827899978,Das Bandeirinhas Airport,\N,SNKF,\N,11.08
Santa Rita De Caldas,MG,3159209.0,-22.026435486110998,-46.3386257813582,Poços de Caldas - Embaixador Walther Moreira Salles Airport,POO,SBPC,POO,31.23
Santa Rita De Jacutinga,MG,3159308.0,-22.14846112222545,-44.10044185439414,Resende Airport,REZ,SDRS,REZ,53.61
Santa Rita De Minas,MG,3159357.0,-19.8752101701675,-42.13178083691653,Usiminas Airport,IPN,SBIP,IPN,58.4
Santa Rita De Ibitipoca,MG,3159407.0,-21.561230079444996,-43.91676051877343,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,36.45
Santa Rita Do Itueto,MG,3159506.0,-19.359813014673897,-41.379278217515974,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,81.74
Santa Rita Do Sapucaí,MG,3159605.0,-22.2533298263696,-45.703988192512355,Pouso Alegre Airport,PPY,SNZA,PPY,22.49
Santa Rosa Da Serra,MG,3159704.0,-19.532621138026,-45.97066442735269,Romeu Zema Airport,AAX,SBAX,AAX,103.77
Santa Vitória,MG,3159803.0,-18.843947982562547,-50.12346511151746,Francisco Vilela do Amaral Airport,ITR,SBIT,ITR,105.66
Santo Antônio Do Amparo,MG,3159902.0,-20.94624856583055,-44.91867493522841,Brigadeiro Cabral Airport,DIQ,SNDV,DIQ,85.27
Santo Antônio Do Aventureiro,MG,3160009.0,-21.755828175855,-42.8116372461193,Zona da Mata Regional Airport,IZA,SDZY,IZA,46.09
Santo Antônio Do Grama,MG,3160108.0,-20.3125002779396,-42.613898797015395,Cristiano Ferreira Varella Airport,\N,SNBM,\N,93.3
Santo Antônio Do Itambé,MG,3160207.0,-18.468971645516344,-43.30377940949083,Diamantina Airport,DTI,SNDT,DTI,45.08
Santo Antônio Do Jacinto,MG,3160306.0,-16.537683409686,-40.175337325243625,Porto Seguro Airport,BPS,SBPS,BPS,117.21
Santo Antônio Do Monte,MG,3160405.0,-20.0872192488794,-45.29393591914449,Brigadeiro Cabral Airport,DIQ,SNDV,DIQ,45.37
Santo Antônio Do Retiro,MG,3160454.0,-15.34263353726945,-42.62437651567548,Janaúba Airport,\N,SNAP,\N,86.47
Santo Antônio Do Rio Abaixo,MG,3160504.0,-19.225679803791195,-43.25305718238078,Lagoa Santa Airport,\N,SBLS,\N,83.07
Santo Hipólito,MG,3160603.0,-18.2878101900473,-44.221698220523386,Diamantina Airport,DTI,SNDT,DTI,60.65
Santos Dumont,MG,3160702.0,-21.457531994701398,-43.553752165292096,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,30.15
São Bento Abade,MG,3160801.0,-21.57904801649455,-45.07536062669283,Major Brigadeiro Trompowsky Airport,VAG,SBVG,VAG,41.16
São Brás Do Suaçuí,MG,3160900.0,-20.626504068482298,-43.95267464788904,Das Bandeirinhas Airport,\N,SNKF,\N,20.4
São Domingos Das Dores,MG,3160959.0,-19.5294460672771,-42.009507996903395,Usiminas Airport,IPN,SBIP,IPN,50.54
São Domingos Do Prata,MG,3161007.0,-19.87102790043619,-42.960363400399004,Usiminas Airport,IPN,SBIP,IPN,66.57
São Félix De Minas,MG,3161056.0,-18.586105594455248,-41.49035282882797,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,62.16
São Francisco,MG,3161106.0,-15.952563805561148,-44.86131274237657,Mário Ribeiro Airport,MOC,SBMK,MOC,139.31
São Francisco De Paula,MG,3161205.0,-20.7135317999445,-44.982630619926354,Brigadeiro Cabral Airport,DIQ,SNDV,DIQ,60.38
São Francisco De Sales,MG,3161304.0,-19.86511435828195,-49.76556631788817,Prof. Eribelto Manoel Reino State Airport,SJP,SBSR,SJP,112.23
São Francisco Do Glória,MG,3161403.0,-20.792301418718846,-42.268220532667485,Cristiano Ferreira Varella Airport,\N,SNBM,\N,39.36
São Geraldo,MG,3161502.0,-20.9208475279285,-42.837664133247145,Cristiano Ferreira Varella Airport,\N,SNBM,\N,51.36
São Geraldo Da Piedade,MG,3161601.0,-18.844031341877752,-42.28913506793002,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,32.79
São Geraldo Do Baixio,MG,3161650.0,-18.918808516417148,-41.36362823686957,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,65.12
São Gonçalo Do Abaeté,MG,3161700.0,-18.34111292804935,-45.83424615040088,Patos de Minas Airport,POJ,SNPD,POJ,78.48
São Gonçalo Do Pará,MG,3161809.0,-19.98568473190345,-44.85718898382295,Brigadeiro Cabral Airport,DIQ,SNDV,DIQ,21.73
São Gonçalo Do Rio Abaixo,MG,3161908.0,-19.8318007017906,-43.348040019305614,Lagoa Santa Airport,\N,SBLS,\N,60.43
São Gonçalo Do Sapucaí,MG,3162005.0,-21.891905142095546,-45.59463779493689,Major Brigadeiro Trompowsky Airport,VAG,SBVG,VAG,35.82
São Gotardo,MG,3162104.0,-19.312700191332144,-46.05314404010289,Patos de Minas Airport,POJ,SNPD,POJ,84.76
São João Batista Do Glória,MG,3162203.0,-20.639036845645798,-46.50346146933943,Furnas Airport,\N,SBFU,\N,18.88
São João Da Lagoa,MG,3162252.0,-16.852055156727896,-44.349088562194694,Mário Ribeiro Airport,MOC,SBMK,MOC,58.71
São João Da Mata,MG,3162302.0,-21.934852824523652,-45.92652980759877,Pouso Alegre Airport,PPY,SNZA,PPY,39.41
São João Da Ponte,MG,3162401.0,-15.92451306549915,-44.00895510849668,Janaúba Airport,\N,SNAP,\N,76.43
São João Das Missões,MG,3162450.0,-14.882533483912349,-44.08126228952749,Janaúba Airport,\N,SNAP,\N,124.63
São João Del Rei,MG,3162500.0,-21.135508974317247,-44.26097273472919,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,53.85
São João Do Manhuaçu,MG,3162559.0,-20.3954998659809,-42.15215775054939,Cristiano Ferreira Varella Airport,\N,SNBM,\N,85.05
São João Do Manteninha,MG,3162575.0,-18.7278374865803,-41.158748442561034,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,88.65
São João Do Oriente,MG,3162609.0,-19.33766613426195,-42.156459894962026,Usiminas Airport,IPN,SBIP,IPN,37.75
São João Do Pacuí,MG,3162658.0,-16.538375144554447,-44.52957098910005,Mário Ribeiro Airport,MOC,SBMK,MOC,78.0
São João Do Paraíso,MG,3162708.0,-15.3184380950909,-42.0114224428155,Vitória da Conquista Airport,VDC,SBQV,VDC,133.29
São João Evangelista,MG,3162807.0,-18.545186829506434,-42.776048143391684,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,92.22
São João Nepomuceno,MG,3162906.0,-21.53569706358855,-43.01128576850397,Zona da Mata Regional Airport,IZA,SDZY,IZA,16.92
São Joaquim De Bicas,MG,3162922.0,-20.06346846061315,-44.26627301609717,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,40.57
São José Da Barra,MG,3162948.0,-20.722090966241197,-46.319329570875475,Furnas Airport,\N,SBFU,\N,2.71
São José Da Lapa,MG,3162955.0,-19.69862682151905,-43.959956298233664,Lagoa Santa Airport,\N,SBLS,\N,7.83
São José Da Safira,MG,3163003.0,-18.325117456760044,-42.146410524946376,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,65.71
São José Da Varginha,MG,3163102.0,-19.7048059868236,-44.56105973298637,Brigadeiro Cabral Airport,DIQ,SNDV,DIQ,62.04
São José Do Alegre,MG,3163201.0,-22.329055248633747,-45.53018760746676,Pouso Alegre Airport,PPY,SNZA,PPY,40.25
São José Do Divino,MG,3163300.0,-18.483263321987092,-41.39120878438956,Juscelino Kubitscheck Airport,TFL,SNTO,TFL,66.97
São José Do Goiabal,MG,3163409.0,-19.927983216965547,-42.709860126898164,Usiminas Airport,IPN,SBIP,IPN,55.92
São José Do Jacuri,MG,3163508.0,-18.27581075034155,-42.66662676916725,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,99.73
São José Do Mantimento,MG,3163607.0,-20.005998981942497,-41.74907281642596,Usiminas Airport,IPN,SBIP,IPN,97.56
São Lourenço,MG,3163706.0,-22.1177686713602,-45.053373103144594,Resende Airport,REZ,SDRS,REZ,71.31
São Miguel Do Anta,MG,3163805.0,-20.7059175904583,-42.72089904633316,Cristiano Ferreira Varella Airport,\N,SNBM,\N,57.73
São Pedro Da União,MG,3163904.0,-21.133458495541447,-46.621326889343145,Furnas Airport,\N,SBFU,\N,56.35
São Pedro Dos Ferros,MG,3164001.0,-20.171909824516696,-42.52390093480098,Usiminas Airport,IPN,SBIP,IPN,78.06
São Pedro Do Suaçuí,MG,3164100.0,-18.365505759513553,-42.600231939651124,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,87.81
São Romão,MG,3164209.0,-16.3686392158312,-45.069135197125156,Mário Ribeiro Airport,MOC,SBMK,MOC,138.47
São Roque De Minas,MG,3164308.0,-20.250670811515594,-46.3689949346399,Furnas Airport,\N,SBFU,\N,50.4
São Sebastião Da Bela Vista,MG,3164407.0,-22.15500578678414,-45.75478920887552,Pouso Alegre Airport,PPY,SNZA,PPY,22.56
São Sebastião Da Vargem Alegre,MG,3164431.0,-21.073830338080747,-42.638665891930124,Cristiano Ferreira Varella Airport,\N,SNBM,\N,26.0
São Sebastião Do Anta,MG,3164472.0,-19.50010708993575,-41.979598898526035,Usiminas Airport,IPN,SBIP,IPN,53.35
São Sebastião Do Maranhão,MG,3164506.0,-18.091371511329843,-42.56574569666871,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,108.52
