Ano;Cód.;Município;Produto Interno Bruto a preços correntes (Mil Reais);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%)
2008;1501758;Brejo Grande do Araguaia (PA);26272;19,08
2008;1501782;Breu Branco (PA);366328;16,37
2008;1501808;Breves (PA);293398;25,3
2008;1501907;Bujaru (PA);162683;13,15
2008;1501956;Cachoeira do Piriá (PA);52168;14,19
2008;1502004;Cachoeira do Arari (PA);58367;11,66
2008;1502103;Cametá (PA);355218;22,37
2008;1502152;Canaã dos Carajás (PA);1234877;15,6
2008;1502202;Capanema (PA);460563;45,65
2008;1502301;Capitão Poço (PA);167764;30,59
2008;1502400;Castanhal (PA);1329184;54,22
2008;1502509;Chaves (PA);62789;7,61
2008;1502608;Colares (PA);40769;19,87
2008;1502707;Conceição do Araguaia (PA);250050;33,74
2008;1502756;Concórdia do Pará (PA);91075;25,13
2008;1502764;Cumaru do Norte (PA);70769;8,67
2008;1502772;Curionópolis (PA);84848;23,08
2008;1502806;Curralinho (PA);65135;13,8
2008;1502855;Curuá (PA);56820;11,99
2008;1502905;Curuçá (PA);100261;20,85
2008;1502939;Dom Eliseu (PA);268019;31,15
2008;1502954;Eldorado do Carajás (PA);134500;23,05
2008;1503002;Faro (PA);33743;13,5
2008;1503044;Floresta do Araguaia (PA);134315;17,43
2008;1503077;Garrafão do Norte (PA);86542;15,25
2008;1503093;Goianésia do Pará (PA);147700;30,35
2008;1503101;Gurupá (PA);79673;17,57
2008;1503200;Igarapé-Açu (PA);106706;25,9
2008;1503309;Igarapé-Miri (PA);193909;18,71
2008;1503408;Inhangapi (PA);39250;14,03
2008;1503457;Ipixuna do Pará (PA);281919;12,73
2008;1503507;Irituia (PA);82777;25,07
2008;1503606;Itaituba (PA);681618;31,39
2008;1503705;Itupiranga (PA);194320;20,99
2008;1503754;Jacareacanga (PA);70038;13,7
2008;1503804;Jacundá (PA);224646;37,51
2008;1503903;Juruti (PA);227471;27,88
2008;1504000;Limoeiro do Ajuru (PA);119062;6,47
2008;1504059;Mãe do Rio (PA);154836;35,34
2008;1504109;Magalhães Barata (PA);22090;17,74
2008;1504208;Marabá (PA);3218405;56,68
2008;1504307;Maracanã (PA);86703;19,69
2008;1504406;Marapanim (PA);85761;24,28
2008;1504422;Marituba (PA);596465;46,25
2008;1504455;Medicilândia (PA);176940;18,24
2008;1504505;Melgaço (PA);43993;13,38
2008;1504604;Mocajuba (PA);92193;20,16
2008;1504703;Moju (PA);326041;18,08
2008;1504752;Mojuí dos Campos (PA);...;...
2008;1504802;Monte Alegre (PA);317743;21,43
2008;1504901;Muaná (PA);94276;12,42
2008;1504950;Nova Esperança do Piriá (PA);68760;16,29
2008;1504976;Nova Ipixuna (PA);55690;26,07
2008;1505007;Nova Timboteua (PA);41130;28,13
2008;1505031;Novo Progresso (PA);165952;30,13
2008;1505064;Novo Repartimento (PA);230659;22,99
2008;1505106;Óbidos (PA);233861;23,13
2008;1505205;Oeiras do Pará (PA);101987;12,67
2008;1505304;Oriximiná (PA);1164533;31,78
2008;1505403;Ourém (PA);61143;26
2008;1505437;Ourilândia do Norte (PA);288526;26,37
2008;1505486;Pacajá (PA);176719;18,55
2008;1505494;Palestina do Pará (PA);26420;18,63
